Name_With_Blanks,Name,#,Team,Year,Pos,G,PA,PA/G,AB,R,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC
"A.J.
                                                                        Pabst","A.J.
 Pabst",29,ALT,Sr,IF,25,51,0.93,40,6,9,7,2,0,0,3,8,15.69%,6,11.76%,0,0,0.00%,0.225,0.257,0.360,0.275,0.635,1,1,1,11,2,2,17,9,1.89,4.51
"Aiden
                                                                        Joaquin","Aiden
 Joaquin",1,ALT,Fr,OF,27,22,0.40,20,4,5,4,1,0,0,5,1,4.55%,12,54.55%,0,0,0.00%,0.250,0.625,0.286,0.300,0.586,0,0,1,6,1,1,1,3,0.33,1.54
"Alex
                                                                        Hagen","Alex
 Hagen",36,ALT,Fr,OF,25,55,1.00,46,4,5,5,0,0,0,2,8,14.55%,22,40.00%,1,0,100.00%,0.109,0.200,0.236,0.109,0.345,0,1,0,5,0,1,6,14,0.43,1.77
"Blake
                                                                        Burris","Blake
 Burris",75,ALT,Jr,OF,4,14,0.25,12,2,2,2,0,0,0,0,2,14.29%,2,14.29%,1,1,50.00%,0.167,0.200,0.286,0.167,0.453,0,0,0,2,0,0,6,1,6.00,0.65
"Brayden
                                                                        Caskey","Brayden
 Caskey",75,ALT,Jr,IF,21,82,1.49,65,15,17,7,8,1,1,7,12,14.63%,14,17.07%,10,4,71.43%,0.262,0.320,0.415,0.462,0.877,5,0,0,30,10,0,13,17,0.76,14.50
"Bryce
                                                                        Zupan","Bryce
 Zupan",10,ALT,Jr,C,34,116,2.11,104,14,24,15,8,0,1,15,10,8.62%,29,25.00%,2,2,50.00%,0.231,0.303,0.293,0.337,0.630,0,2,0,35,9,2,27,26,1.04,10.26
"Bryer
                                                                        Arview","Bryer
 Arview",17,ALT,Fr,IF,39,122,2.22,93,20,21,15,5,0,1,16,24,19.67%,35,28.69%,7,2,77.78%,0.226,0.345,0.402,0.312,0.714,4,1,0,29,6,3,12,22,0.55,14.58
"Chase
                                                                        Bloomer","Chase
 Bloomer",2,ALT,Fr,IF,22,89,1.62,76,14,22,15,4,0,3,8,12,13.48%,16,17.98%,4,1,80.00%,0.289,0.333,0.393,0.461,0.854,1,0,0,35,7,3,19,18,1.06,14.09
"Cole
                                                                        Yearsley","Cole
 Yearsley",26,ALT,So,OF,12,38,0.69,29,4,6,3,2,0,1,5,5,13.16%,6,15.79%,2,1,66.67%,0.207,0.227,0.395,0.379,0.774,4,0,0,11,3,2,7,10,0.70,4.54
"Diego
                                                                        Murillo","Diego
 Murillo",15,ALT,So,IF,42,145,2.64,123,28,34,27,7,0,0,13,16,11.03%,37,25.52%,15,3,83.33%,0.276,0.391,0.366,0.333,0.699,2,1,3,41,7,4,29,25,1.16,17.24
"Dominic
                                                                        Decker","Dominic
 Decker",9,ALT,Fr,IF,33,134,2.44,107,28,41,31,9,0,1,12,20,14.93%,15,11.19%,16,3,84.21%,0.383,0.435,0.500,0.495,0.995,6,1,0,53,10,2,21,25,0.84,31.74
"Drake
                                                                        Westcott","Drake
 Westcott",20,ALT,So,IF,17,69,1.25,52,14,20,11,7,0,2,15,17,24.64%,8,11.59%,4,2,66.67%,0.385,0.429,0.536,0.635,1.171,0,0,0,33,9,2,10,12,0.83,18.89
"Dylan
                                                                        Mass","Dylan
 Mass",84,ALT,Fr,OF,24,78,1.42,64,15,16,15,1,0,0,4,11,14.10%,11,14.10%,14,4,77.78%,0.250,0.296,0.364,0.266,0.630,1,1,1,17,1,0,21,15,1.40,8.75
"Eli
                                                                        Hoerner","Eli
 Hoerner",42,ALT,Fr,OF,34,130,2.36,103,27,27,23,3,1,0,6,14,10.77%,32,24.62%,19,1,95.00%,0.262,0.380,0.402,0.311,0.713,10,0,3,32,4,3,28,17,1.65,17.96
"Eli
                                                                        Young","Eli
 Young",24,ALT,So,IF,27,58,1.05,47,5,10,8,1,0,1,6,6,10.34%,19,32.76%,4,0,100.00%,0.213,0.321,0.345,0.298,0.643,4,1,0,14,2,1,11,8,1.38,6.29
"Erik
                                                                        Broekemeier","Erik
 Broekemeier",31,ALT,So,IF,45,192,3.49,178,31,53,30,12,1,10,56,7,3.65%,50,26.04%,4,0,100.00%,0.298,0.361,0.344,0.545,0.889,6,1,0,97,23,3,36,33,1.09,33.79
"Evan
                                                                        Evola","Evan
 Evola",8,ALT,So,IF,20,84,1.53,72,12,19,13,3,0,3,19,6,7.14%,10,11.90%,1,1,50.00%,0.264,0.258,0.333,0.431,0.764,3,3,0,31,6,0,21,24,0.88,11.39
"Evan
                                                                        Evola","Evan
 Evola",8,ALT,So,IF,20,21,0.38,72,12,19,13,3,0,3,19,6,28.57%,10,47.62%,1,1,50.00%,0.264,0.271,0.333,0.431,0.764,1,0,0,5,1,0,4,4,1.00,2.32
"Jak
                                                                        Sinclair","Jak
 Sinclair",11,ALT,Fr,OF,4,4,0.07,1,1,0,0,0,0,0,1,1,25.00%,1,25.00%,1,0,100.00%,0.000,0.000,0.667,0.000,0.667,1,0,1,0,0,0,1,0,0.00,0.78
"Jake
                                                                        O'Steen","Jake
 O'Steen",18,ALT,So,IF,20,71,1.29,55,7,13,9,4,0,0,10,15,21.13%,21,29.58%,4,4,50.00%,0.236,0.371,0.394,0.309,0.703,0,1,0,17,4,2,11,10,1.10,7.28
"Kaden
                                                                        Byrne","Kaden
 Byrne",35,ALT,Jr,C,16,52,0.95,48,3,5,5,0,0,0,4,3,5.77%,11,21.15%,0,0,0.00%,0.104,0.135,0.173,0.104,0.277,1,0,0,5,0,2,16,13,1.23,0.81
"Kaden
                                                                        Coutts","Kaden
 Coutts",25,ALT,Fr,C,8,18,0.33,18,0,2,2,0,0,0,1,0,0.00%,8,44.44%,0,0,0.00%,0.111,0.200,0.111,0.111,0.222,0,0,0,2,0,0,2,5,0.40,0.22
"Luigi
                                                                        Albano-Dito","Luigi
 Albano-Dito",16,ALT,Fr,P,11,2,0.04,2,0,1,1,0,0,0,1,0,0.00%,0,0.00%,0,0,0.00%,0.500,0.500,0.500,0.500,1.000,0,0,0,1,0,0,0,1,0.00,0.50
"Mattias
                                                                        Sessing","Mattias
 Sessing",88,ALT,So,OF,17,50,0.91,40,6,9,8,1,0,0,9,10,20.00%,7,14.00%,5,2,71.43%,0.225,0.273,0.380,0.250,0.630,0,0,0,10,1,2,14,8,1.75,4.56
"RJ
                                                                        LaRocco","RJ
 LaRocco",21,ALT,Jr,OF,37,147,2.67,123,31,41,23,13,2,3,27,13,8.84%,21,14.29%,4,1,80.00%,0.333,0.376,0.429,0.545,0.974,9,2,0,67,18,1,32,28,1.14,31.47
"Robby
                                                                        Taul","Robby
 Taul",85,ALT,Jr,IF,3,14,0.25,13,4,2,1,1,0,0,1,1,7.14%,5,35.71%,0,0,0.00%,0.154,0.250,0.214,0.231,0.445,0,0,0,3,1,0,0,4,0.00,0.70
"Tyler
                                                                        Imbach","Tyler
 Imbach",13,ALT,So,C,25,79,1.44,68,10,15,10,4,0,1,13,10,12.66%,26,32.91%,1,0,100.00%,0.221,0.341,0.329,0.324,0.653,1,0,0,22,5,0,12,13,0.92,8.35
