#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
0,"Scott
 Detweiler",ALT,Jr,P,18,0,4,2,1,0,159,34.33,0.58,97,32,8.39,24,21,17,4.46,10.69,37,9.70,23.27,2.18,1,7,58.61,5.50,92.23,4.90,82.02,0.60,1.43
1,"Aiden
 Joaquin",ALT,Fr,OF,12,7,1,4,0,0,215,43.67,0.74,136,54,11.13,34,27,27,5.56,12.56,38,7.83,17.67,1.41,5,9,67.47,5.56,93.24,6.80,113.87,-1.24,1.85
3,"Alex
 Rodriguez",ALT,Jr,P,13,4,0,3,0,0,152,29.33,0.50,85,39,11.97,35,33,18,5.52,11.84,35,10.74,23.03,1.94,6,8,53.00,10.13,169.87,7.51,125.79,2.62,1.94
7,"Victor
 Heredia",ALT,Fr,IF,4,0,0,1,0,0,15,3.00,0.05,10,5,15.00,1,1,1,3.00,6.67,3,9.00,20.00,3.00,0,1,85.71,3.00,50.31,4.57,76.65,-1.57,2.00
9,"Dominic
 Decker",ALT,Fr,IF,2,0,0,0,0,0,16,3.00,0.05,14,6,18.00,4,4,1,3.00,6.25,1,3.00,6.25,1.00,0,0,42.86,12.00,201.23,4.91,82.24,7.09,2.33
10,"Bryce
 Zupan",ALT,Jr,C,1,0,0,0,0,0,4,1.00,0.02,2,1,9.00,0,0,0,0.00,0.00,2,18.00,50.00,#NUM!,0,0,100.00,0.00,0.00,0.57,9.63,-0.57,1.00
11,"Jak
 Sinclair",ALT,Fr,OF,1,0,0,0,0,0,7,0.67,0.01,2,1,13.43,5,5,4,53.73,57.14,1,13.50,14.29,0.25,0,0,0.00,67.50,1131.91,19.50,326.74,48.00,7.46
14,"Charlie
 Hodges",ALT,So,P,9,7,1,1,0,0,160,32.00,0.54,83,30,8.44,27,22,27,7.59,16.88,39,10.97,24.38,1.44,4,7,63.36,6.19,103.80,6.95,116.45,-0.76,1.78
16,"Luigi
 Albano-Dito",ALT,Fr,P,10,5,0,2,0,0,160,29.33,0.50,102,47,14.42,35,27,25,7.67,15.63,26,7.98,16.25,1.04,4,3,57.64,8.28,138.85,7.44,124.64,0.84,2.45
17,"Bryer
 Arview",ALT,Fr,IF,1,0,0,0,0,0,6,1.00,0.02,5,3,27.00,1,1,0,0.00,0.00,1,9.00,16.67,#NUM!,0,0,66.67,9.00,150.92,2.57,43.14,6.43,3.00
21,"RJ
 LaRocco",ALT,Jr,OF,1,0,0,0,0,0,5,1.00,0.02,4,1,9.00,1,1,0,0.00,0.00,0,0.00,0.00,0.00,0,1,50.00,9.00,150.92,7.57,126.92,1.43,1.00
23,"Kyle
 Dixon",ALT,Jr,P,2,0,0,0,0,0,11,2.33,0.04,4,2,7.73,2,2,4,15.45,36.36,3,11.57,27.27,0.75,0,0,66.67,7.71,129.29,7.15,119.80,0.56,2.58
27,"Lucas
 Johns",ALT,Fr,P,13,1,0,1,0,0,118,21.00,0.36,64,29,12.43,26,21,23,9.86,19.49,24,10.29,20.34,1.04,3,4,57.92,9.00,150.92,8.00,134.10,1.00,2.48
28,"Nolan
 Wilson",ALT,So,P,4,2,1,0,0,0,77,17.33,0.29,46,14,7.27,12,12,8,4.15,10.39,16,8.31,20.78,2.00,3,4,64.22,6.23,104.47,7.06,118.23,-0.83,1.27
29,"A.J.
 Pabst",ALT,Sr,IF,4,0,0,2,1,0,29,5.67,0.10,20,5,7.94,8,3,6,9.52,20.69,2,3.18,6.90,0.33,0,1,33.33,4.76,79.82,7.57,126.89,-2.81,1.94
30,"Tyson
 Greene",ALT,So,IF,15,0,0,1,1,0,86,17.33,0.29,46,22,11.43,9,7,11,5.71,12.79,25,12.98,29.07,2.27,1,3,78.03,3.63,60.87,4.86,81.49,-1.23,1.90
31,"Erik
 Broekemeier",ALT,So,IF,3,0,0,0,0,0,34,4.00,0.07,21,11,24.75,13,9,6,13.50,17.65,4,9.00,11.76,0.67,1,2,34.09,20.25,339.57,11.82,198.14,8.43,4.25
37,"Luke
 Gasser",ALT,So,P,16,2,0,3,1,0,100,18.67,0.32,56,24,11.57,22,17,16,7.71,16.00,23,11.09,23.00,1.44,4,1,53.67,8.20,137.51,7.63,127.81,0.57,2.14
41,"Dimitri
 Ivetic",ALT,So,P,15,0,1,1,3,0,125,27.67,0.47,74,26,8.46,17,9,17,5.53,13.60,33,10.73,26.40,1.94,1,0,62.50,2.93,49.13,4.50,75.44,-1.57,1.55
42,"Eli
 Hoerner",ALT,Fr,OF,2,0,0,0,0,0,7,1.67,0.03,6,2,10.78,0,0,0,0.00,0.00,1,5.40,14.29,#NUM!,0,0,100.00,0.00,0.00,3.38,56.59,-3.38,1.20
46,"Jackson
 Parrill",ALT,Fr,P,13,5,3,4,1,0,146,29.33,0.50,83,31,9.51,31,22,24,7.36,16.44,32,9.82,21.92,1.33,5,2,52.00,6.75,113.19,7.27,121.79,-0.52,1.88
49,"J.T.
 Miller",ALT,So,P,11,5,0,2,0,0,126,25.00,0.42,63,23,8.28,33,30,24,8.64,19.05,27,9.72,21.43,1.12,5,7,44.68,10.80,181.11,8.73,146.36,2.07,1.88
73,"Kalen
 Reardon",ALT,So,P,4,1,0,1,0,0,25,4.00,0.07,17,5,11.25,7,7,7,15.75,28.00,0,0.00,0.00,0.00,0,1,46.15,15.75,264.11,10.57,177.19,5.18,3.00
76,"Adam
 Stilts",ALT,Jr,P,4,3,1,2,0,0,87,16.67,0.28,67,28,15.12,22,17,4,2.16,4.60,11,5.94,12.64,2.75,3,2,40.27,9.18,153.94,6.67,111.83,2.51,1.92
78,"Carson
 Richardson",ALT,Jr,P,4,0,0,0,0,0,21,4.67,0.08,12,5,9.64,5,5,2,3.85,9.52,4,7.71,19.05,2.00,1,2,52.63,9.64,161.65,8.21,137.65,1.43,1.50
79,"Jake
 Bockenstedt",ALT,Sr,P,3,3,1,2,0,0,46,8.00,0.14,22,15,16.88,17,5,6,6.75,13.04,15,16.88,32.61,2.50,3,0,23.81,5.63,94.41,7.95,133.21,-2.32,2.62
81,"Colin
 Hawkins",ALT,So,P,10,0,2,0,0,0,63,13.33,0.23,37,6,4.05,5,5,15,10.13,23.81,9,6.07,14.29,0.60,0,2,78.26,3.38,56.68,7.05,118.14,-3.67,1.58
82,"Kyle
 Athmer",ALT,So,P,6,6,3,1,0,0,130,30.67,0.52,71,22,6.46,14,14,15,4.40,11.54,38,11.15,29.23,2.53,4,2,74.85,4.11,68.92,5.46,91.41,-1.35,1.21
82,"Alex
 Renfrow",ALT,Fr,P,4,3,1,1,0,0,69,15.67,0.27,53,18,10.34,11,9,4,2.30,5.80,10,5.74,14.49,2.50,1,1,55.56,5.17,86.70,5.09,85.21,0.08,1.40
88,"Zach
 Olson",ALT,Fr,P,2,1,0,1,0,0,24,4.00,0.07,14,6,13.50,11,9,5,11.25,20.83,3,6.75,12.50,0.60,0,2,15.38,20.25,339.57,8.32,139.49,11.93,2.75
99,"Evan
 Gray",ALT,Jr,P,4,0,1,0,0,0,25,5.33,0.09,12,4,6.75,2,2,2,3.38,8.00,7,11.81,28.00,3.50,0,4,80.00,3.38,56.68,5.33,89.23,-1.95,1.13
2,"Kyle
 Looper",BRL,So,P,8,0,2,0,0,0,48,11.67,0.20,27,6,4.63,2,2,8,6.17,16.67,11,8.49,22.92,1.38,0,2,87.50,1.54,25.85,5.26,88.23,-3.72,1.20
