Name,GP,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC
Chillicothe Paints,58,2321,1960,471,628,458,92,24,54,416,273,11.76%,379,16.33%,114,22,83.82%,0.320,0.369,0.411,0.474,0.885,48,29,11,930,170,36,453,473,0.96,420
Cape Catfish,57,2321,1864,433,555,381,114,19,41,385,323,13.92%,393,16.93%,152,21,87.86%,0.298,0.353,0.423,0.445,0.868,100,25,9,830,174,51,408,498,0.82,405
Illinois Valley Pistol Shrimp,58,2379,1954,415,573,397,115,13,48,368,314,13.20%,459,19.29%,100,19,84.03%,0.293,0.356,0.406,0.439,0.845,75,26,10,858,176,50,448,434,1.03,387
Thrillville Thrillbillies,55,2198,1774,410,511,360,93,11,47,365,338,15.38%,365,16.61%,73,10,87.95%,0.288,0.334,0.411,0.432,0.843,50,28,8,767,151,37,416,451,0.92,358
Quincy Gems,57,2284,1879,415,517,358,97,14,48,371,305,13.35%,454,19.88%,100,15,86.96%,0.275,0.335,0.393,0.418,0.811,75,21,4,786,159,30,429,427,1.00,354
Champion City Kings,58,2260,1880,396,525,351,104,12,58,347,278,12.30%,421,18.63%,76,25,75.25%,0.279,0.326,0.383,0.440,0.823,60,33,9,827,174,28,414,478,0.87,350
Clinton LumberKings,58,2363,1901,399,515,371,107,11,26,351,335,14.18%,417,17.65%,166,27,86.01%,0.271,0.329,0.401,0.380,0.781,94,27,6,722,144,39,432,488,0.89,348
Johnstown Mill Rats,59,2308,1888,358,524,387,83,21,33,312,318,13.78%,458,19.84%,159,40,79.90%,0.278,0.346,0.396,0.396,0.792,69,24,9,748,137,34,444,436,1.02,344
Danville Dans,56,2214,1825,391,516,375,97,11,33,333,294,13.28%,357,16.12%,163,27,85.79%,0.283,0.331,0.397,0.402,0.799,67,23,5,734,141,45,420,491,0.86,337
Lafayette Aviators,57,2268,1841,353,507,372,86,25,24,304,318,14.02%,400,17.64%,135,24,84.91%,0.275,0.335,0.399,0.388,0.787,77,26,6,715,135,46,472,421,1.12,332
O'Fallon Hoots,58,2226,1830,367,462,294,93,13,62,320,299,13.43%,518,23.27%,100,15,86.96%,0.252,0.315,0.376,0.419,0.795,74,19,4,767,168,28,338,440,0.77,330
REX Baseball,56,2219,1830,352,510,362,97,19,32,317,314,14.15%,429,19.33%,115,20,85.19%,0.279,0.345,0.395,0.405,0.800,50,16,9,741,148,49,423,428,0.99,330
Normal CornBelters,57,2209,1759,384,474,345,85,11,33,339,348,15.75%,444,20.10%,152,41,78.76%,0.269,0.339,0.405,0.387,0.792,65,20,17,680,129,35,395,423,0.93,325
Burlington Bees,57,2267,1834,335,488,350,94,13,31,297,302,13.32%,464,20.47%,87,15,85.29%,0.266,0.334,0.390,0.382,0.772,92,31,8,701,138,29,353,498,0.71,321
Springfield Lucky Horseshoes,54,2248,1759,366,441,306,89,13,33,317,349,15.52%,587,26.11%,94,14,87.04%,0.251,0.351,0.399,0.372,0.771,101,24,15,655,135,31,361,347,1.04,317
Alton River Dragons,55,2102,1750,327,455,317,103,6,29,284,258,12.27%,463,22.03%,131,35,78.92%,0.260,0.333,0.371,0.375,0.746,62,20,12,657,138,42,416,391,1.06,274
Jackson Rockabillys,57,2210,1863,330,463,331,82,21,29,283,273,12.35%,546,24.71%,94,23,80.34%,0.249,0.335,0.363,0.362,0.725,66,7,1,674,132,42,385,413,0.93,272
TOTALS,483.5,38397,31391,6502,8664,6115,1631,257,661,5709,5239,13.64%,7554,19.67%,2011,393,83.65%,0.276,0.339,0.395,0.408,0.803,1225,399,143,12792,2549,652,7007,7537,0.93,6332
